t,x,y,vx,vy,thrust
917400.0,-3295524.867757581,47592923.3611702,2226.5269498872317,263.7937137597198,1
917600.0,-2849947.3591188863,47642192.714878924,2229.1932828452746,228.90022326135187,1
917800.0,-2403869.472491469,47684483.57650397,2231.530844434316,194.0086234631659,1
918000.0,-1957356.897572937,47719796.22247223,2233.540259349669,159.11789702303616,1
918200.0,-1510475.211737046,47748130.72565189,2235.222026253412,124.22702587651091,1
918400.0,-1063289.9051727036,47769486.95531575,2236.5765184324764,89.3349923120401,1
918600.0,-615866.4059023187,47783864.57731823,2237.6039843472886,54.440780034040586,1
918800.0,-168270.10470129515,47791263.05448417,2238.3045480718047,19.543375217188128,1
919000.0,279433.62005968165,47791681.64720781,2238.678209625654,-15.358232444707753,1
919200.0,727179.3776280449,47785119.41426128,2238.7248451989412,-50.26504869191265,1
919400.0,1174901.7401170095,47771575.213812575,2238.4442072701304,-85.17807365073725,1
919600.0,1622535.217766143,47751047.704653464,2237.835924617278,-120.09830078094512,1
919800.0,2070014.2341935304,47723535.347638726,2236.899502222752,-155.0267158152638,1
920000.0,2517273.1016182336,47689036.4073385,2235.6343210714267,-189.96429568764125,1
920200.0,2964245.9960317244,47647548.9539064,2234.0396378422165,-224.91200744685602,1
920400.0,3410866.9322969373,47599070.86516668,2232.1145844926577,-259.87080715204377,1
920600.0,3857069.739153509,47543599.828924365,2229.858167736129,-294.841638746646,1
920800.0,4302788.034107681,47481133.34550307,2227.269268411155,-329.8254329072182,1
921000.0,4747955.198185217,47411668.73051585,2224.3466407421033,-364.8231058634537,1
921200.0,5192504.350525525,47335203.117875285,2221.088911490458,-399.8355581856879,1
921400.0,5636368.322795028,47251733.463049546,2217.4945789957046,-434.8636735360418,1
921600.0,6079479.633397561,47161256.54657228,2213.5620121047473,-469.90831737924555,1
921800.0,6521770.461459423,47063768.97781469,2209.289448988624,-504.97033564905195,1
922000.0,6963172.620566385,46959267.19902906,2204.6749958451637,-540.0505533660049,1
922200.0,7403617.532229691,46847747.48967403,2199.7166254860986,-575.1497732021676,1
922400.0,7843036.1990578035,46729205.9710326,2194.4121758069955,-610.2687739882414,1
922600.0,8281359.177610269,46603638.6111348,2188.759348138251,-645.4083091583166,1
922800.0,8718516.550909726,46471041.22999815,2182.7557054752556,-680.5691051272888,1
923000.0,9154437.900587706,46331409.50519972,2176.398670585692,-715.7518595957511,1
923200.0,9589052.278639413,46184738.97779499,2169.6855239918054,-750.9572397769308,1
923400.0,10022288.178762281,46031025.05859952,2162.6134018253497,-786.1858805399793,1
923600.0,10454073.507252574,45870263.03485085,2155.1792935527665,-821.4383824636384,1
923800.0,10884335.553433834,45702448.07726919,2147.380039568039,-856.7153097940096,1
924000.0,11313000.959590448,45527575.247536615,2139.212328650513,-892.0171882998228,1
924200.0,11739995.690379042,45345639.506216094,2130.672695284849,-927.344503018254,1
924400.0,12165245.00168982,45156635.72113289,2121.7575168401445,-962.6976958839667,1
924600.0,12588673.408929402,44960558.67624246,2112.4630106051245,-998.0771632336493,1
924800.0,13010204.654696034,44757403.08101058,2102.7852306761743,-1033.4832531778916,1
925000.0,13429761.675817406,44547163.58033308,2092.720064694867,-1068.916262831782,1
925200.0,13847266.569720643,44329834.76502432,2082.2632304315057,-1104.3764353951137,1
925400.0,14262640.560103301,44105411.182905525,2071.4102722110915,-1139.8639570725616,1
925600.0,14675803.9618735,43873887.35052584,2060.156557178002,-1175.378953823625,1
925800.0,15086676.145326536,43635257.765551396,2048.497271395567,-1210.9214879315289,1
926000.0,15495175.49952458,43389516.9198596,2036.4274157766195,-1246.4915543796321,1
926200.0,15901219.394845247,43136659.31337844,2023.9418018410024,-1282.0890770231963,1
926400.0,16304724.144664021,42876679.468712896,2011.0350472959349,-1317.7139045436368,1
926600.0,16705604.966134693,42609571.94660348,1997.701571435057,-1353.3658061715855,1
926800.0,17103775.94003112,42335331.3622644,1983.935590351917,-1389.0444671642526,1
927000.0,17499149.969612774,42053952.40265218,1969.7311119636133,-1424.7494840216755,1
927200.0,17891638.738475673,41765429.84471839,1955.0819308402758,-1460.4803594254788,1
927400.0,18281152.667349428,41469758.574703924,1939.9816228360578,-1496.2364968827458,1
927600.0,18667600.86980029,41166933.60853545,1924.423539517322,-1532.0171950564954,1
927800.0,19050891.10679917,40856950.11338879,1908.4008023837448,-1567.8216417630958,1
928000.0,19430929.740112863,40539803.43048779,1891.9062968781227,-1603.6489076156831,1
928200.0,19807621.684475727,40215489.099211805,1874.9326661807745,-1639.4979392913203,1
928400.0,20180870.35849837,39884002.88258933,1857.4723047845657,-1675.3675523982013,1
928600.0,20550577.634269103,39545340.794260256,1839.5173518467682,-1711.2564239176745,1
928800.0,20916643.78560315,39199499.12699447,1821.0596843141982,-1747.1630841942335,1
929000.0,21278967.43489392,38846474.482860036,1802.0909098183688,-1783.0859084448775,1
929200.0,21637445.498520076,38486263.80514009,1782.6023593377415,-1819.023107757388,1
929400.0,21991973.130761556,38118864.41210386,1762.5850796245902,-1854.9727195450805,1
929600.0,22342443.66617726,37744274.03274395,1742.029825394496,-1890.9325974234735,1
