t,x,y,vx,vy,thrust
697500.0,5030084.081405892,47097904.518832155,1772.7953843995383,-474.2017653763143,1
697800.0,5561086.3118801955,46947675.42533772,1767.1135436804714,-527.3490603934401,1
698100.0,6090288.172354608,46781480.20425327,1760.79131442516,-580.6451524738673,1
698400.0,6617496.050235607,46599271.92549091,1753.8185445419272,-634.1053434422571,1
698700.0,7142513.124586406,46400999.04160036,1746.1839901881372,-687.7451172166357,1
699000.0,7665139.032066084,46186605.33013587,1737.8752713366541,-741.5801598825603,1
699300.0,8185169.518744194,45956029.8299649,1728.8788219846135,-795.6263800061688,1
699600.0,8702396.07612597,45709206.77144773,1719.1798346124738,-849.8999291808242,1
699900.0,9216605.559598072,45446065.50041947,1708.7621984500197,-904.4172227945712,1
700200.0,9727579.787363378,45166530.395911284,1697.6084310489307,-959.1949609965754,1
700500.0,10235095.117773896,44870520.78155588,1685.6996025978153,-1014.2501498297836,1
700800.0,10738922.002791071,44557950.83063375,1673.0152523442664,-1069.6001224837992,1
701100.0,11238824.515100423,44228729.46473306,1659.5332964083618,-1125.2625606059069,1
701400.0,11734559.84617943,43882760.24601745,1645.2299261818177,-1181.2555155886887,1
701700.0,12225877.772360947,43519941.26312391,1630.079496405186,-1237.597429729035,1
702000.0,12712520.08564521,43140165.010748506,1614.0544019003273,-1294.3071571246542,1
702300.0,13194219.985687492,42743318.26302319,1597.1249418048617,-1351.4039841393765,1
702600.0,13670701.429020716,42329281.94084343,1579.2591700070543,-1408.9076492263018,1
702900.0,14141678.431157118,41897930.97337733,1560.4227303108814,-1466.8383618465878,1
703200.0,14606854.316743772,41449134.15407439,1540.5786746686508,-1525.2168201594477,1
703500.0,15065920.91241574,40982753.99160057,1519.6872625987814,-1584.0642270833778,1
703800.0,15518557.67638902,40498646.55625944,1497.7057396547775,-1643.402304236813,1
704100.0,15964430.758153053,39996661.322623104,1474.588092522933,-1703.2533031547541,1
704400.0,16403191.98084713,39476641.00929726,1450.2847779948052,-1763.6400130419643,1
704700.0,16834477.738023084,38938421.41699058,1424.7424226788687,-1824.5857641576438,1
705000.0,17257907.79549145,38381831.266359545,1397.903489875604,-1886.114425724241,1
705300.0,17673083.987801153,37806692.037467845,1369.705909531624,-1948.2503970058165,1
705600.0,18079588.79759125,37212817.81314968,1340.082666599565,-2011.0185898985978,1
705900.0,18476983.804551456,36600015.12911745,1308.9613424474219,-2074.4444010048796,1
706200.0,18864807.989005104,35968082.834328905,1276.2636031672805,-2138.5536707047136,1
706500.0,19242575.87314823,35316811.96595619,1241.904627709409,-2203.372626177108,1
706800.0,19609775.480698727,34645985.64431406,1205.7924676901237,-2268.9278046274994,1
707100.0,19965866.09308015,33955378.99435207,1167.827329463135,-2335.24595211785,1
707400.0,20310275.777226605,33244759.10185099,1127.900767571354,-2402.3538923276833,1
707700.0,20642398.65657823,32513885.014357302,1085.8947769704687,-2470.2783582449583,1
708000.0,20961591.89275867,31762507.799229693,1041.6807693907895,-2539.045778126057,1
708300.0,21267172.340688545,30990370.674069524,995.1184168253434,-2608.6820049861158,1
708600.0,21558412.83437739,30197209.228405565,946.0543423356045,-2679.2119762706116,1
708900.0,21834538.054213714,29382751.75998222,894.320635076171,-2750.659287069398,1
709200.0,22094719.919078298,28546719.754591636,839.7331625683787,-2823.0456560741823,1
709500.0,22338072.43785028,27688828.545389984,782.0896486992424,-2896.390258200636,1
709800.0,22563645.944637466,26808788.196429737,721.1674805718023,-2970.7088910709494,1
710100.0,22770420.630083777,25906304.666217647,656.7212010593006,-3046.0129339533473,1
710400.0,22957299.26709107,24981081.321115494,588.4796365837251,-3122.3080467168093,1
710700.0,23123099.01290133,24032820.886176106,516.1426011143053,-3199.592542133753,1
